# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.10.0
#@/tick	116448
#@/user_id	desktop
a 	啊	c=174 d=2.53214 t=116448
hai yao 	還要	c=8 d=0.860708 t=116448
hai yi 	還以	c=3 d=6.86566e-18 t=116448
hai yi wei 	還以爲	c=2 d=1.46071e-193 t=116448
hai you 	還有	c=93 d=2.00217 t=116448
hai you ge 	還有個	c=5 d=7.6442e-17 t=116448
hai you ji hui 	還有機會	c=1 d=3.10984e-230 t=116448
hai you mei you 	還有沒有	c=3 d=1.81483e-41 t=116448
hai you yi ge 	還有一個	c=1 d=8.68887e-24 t=116448
hai you zhe zhong 	還有這種	c=1 d=1.19074e-230 t=116448
hai zai 	還在	c=29 d=0.543351 t=116448
hai zhen 	還真	c=1 d=9.74817e-142 t=116448
hai zhen shi 	還真是	c=2 d=8.25982e-134 t=116448
han 	含	c=4 d=0.927743 t=116448
han 	汗	c=1 d=0.10383 t=116448
han 	涵	c=3 d=2.97307e-54 t=116448
han guo 	韓國	c=1 d=5.64815e-45 t=116448
han lei 	韓磊	c=1 d=1.19344e-51 t=116448
han ni 	喊你	c=1 d=1.97482e-35 t=116448
han shi 	含识	c=1 d=2.36012e-73 t=116448
han shu 	函數	c=55 d=2.46614 t=116448
han shu kong jian 	函數空間	c=0 d=3.74243e-86 t=116448
han shu zhong 	函數中	c=1 d=1.97222e-137 t=116448
han yi 	含義	c=17 d=1 t=116448
han yi shi 	含義是	c=1 d=7.85481e-72 t=116448
han you 	含有	c=3 d=6.09551e-30 t=116448
han zi 	漢字	c=1 d=2.43922e-196 t=116448
hang 	杭	c=1 d=2.3867e-234 t=116448
hang 	航	c=7 d=3.72779e-33 t=116448
hang 	行	c=28 d=0.937077 t=116448
hang shu 	行數	c=4 d=3.06632e-35 t=116448
hao 	好	c=133 d=0.234871 t=116448
hao 	浩	c=5 d=0.0720785 t=116448
hao 	號	c=134 d=0.475116 t=116448
hao 	豪	c=0 d=0.0138761 t=116448
hao ba 	好吧	c=4 d=3.7029e-19 t=116448
hao ban fa 	好辦法	c=1 d=2.03943e-237 t=116448
hao biao yan 	好表演	c=1 d=8.33404e-151 t=116448
hao bu rong yi 	好不容易	c=1 d=3.81295e-40 t=116448
hao chi 	好喫	c=0 d=5.71385e-35 t=116448
hao chu 	好處	c=1 d=1.21329e-98 t=116448
hao de 	好的	c=62 d=0.00176355 t=116448
hao de wo 	好的我	c=1 d=1.14809e-07 t=116448
hao di 	好滴	c=1 d=3.74257e-203 t=116448
hao dian 	好點	c=4 d=7.92578e-05 t=116448
hao dong xi 	好東西	c=1 d=5.01633e-208 t=116448
hao duo 	好多	c=1 d=5.6307e-38 t=116448
hao duo le 	好多了	c=1 d=1.02736e-229 t=116448
hao duo ren 	好多人	c=1 d=3.33792e-151 t=116448
hao duo shou 	好多手	c=1 d=4.10379e-140 t=116448
hao fan 	好煩	c=1 d=4.64265e-209 t=116448
hao fang 	豪放	c=1 d=1.93199e-218 t=116448
hao fang fa 	好方法	c=1 d=1.25374e-219 t=116448
hao fei 	耗費	c=2 d=6.7258e-191 t=116448
hao gui 	好貴	c=1 d=1.55838e-131 t=116448
hao hao 	好好	c=6 d=1.63877 t=116448
hao hao ting 	好好聽	c=1 d=2.8087e-32 t=116448
hao hua 	豪華	c=0 d=4.84556e-37 t=116448
hao ji 	好幾	c=1 d=1.00502e-147 t=116448
hao ji ci 	好幾次	c=1 d=9.88683e-161 t=116448
hao ji ge 	好幾個	c=3 d=2.07234e-102 t=116448
hao ji tian 	好幾天	c=1 d=9.05066e-239 t=116448
hao jie jie 	號姐姐	c=1 d=1.00464e-25 t=116448
hao jiu 	好久	c=7 d=0.976642 t=116448
hao kan 	好看	c=0 d=1.18371e-132 t=116448
hao kan dian 	好看點	c=1 d=1.18964e-131 t=116448
hao le 	好了	c=8 d=0.318224 t=116448
hao luan 	好亂	c=1 d=2.76456e-169 t=116448
hao ma 	號碼	c=5 d=0.951229 t=116448
hao miao 	毫秒	c=3 d=7.99403e-08 t=116448
hao nan 	好難	c=1 d=1.28442e-33 t=116448
hao peng you 	好朋友	c=2 d=0.951229 t=116448
hao qi 	好奇	c=2 d=1.68719e-36 t=116448
hao shi 	好事	c=2 d=3.99499e-118 t=116448
hao shi 	好使	c=1 d=4.21513e-102 t=116448
hao shi 	耗時	c=157 d=2.33301 t=116448
hao shou 	好受	c=1 d=1.03166e-190 t=116448
hao shou 	好手	c=1 d=4.20094e-33 t=116448
hao wan 	好玩	c=1 d=2.76832e-185 t=116448
hao xi huan 	好喜歡	c=1 d=8.90796e-111 t=116448
hao xiang 	好像	c=8 d=1.17248e-19 t=116448
hao xiao 	好笑	c=1 d=0.128735 t=116448
hao xiao xi 	好消息	c=1 d=3.12171e-216 t=116448
hao xiong di 	好兄弟	c=1 d=0.251579 t=116448
hao yi dian 	好一點	c=2 d=2.81043e-98 t=116448
hao yi duan 	號一段	c=1 d=4.88764e-167 t=116448
hao yi hui 	好一會	c=1 d=3.15973e-182 t=116448
hao yi si 	好意思	c=1 d=1.29724e-91 t=116448
hao yo 	號喲	c=1 d=3.82233e-157 t=116448
hao yong 	好用	c=4 d=8.85355e-39 t=116448
hao you 	好友	c=54 d=6.00468e-14 t=116448
hao you xuan ze mian ban 	好友選擇面板	c=1 d=6.78057e-224 t=116448
hao yuan 	好遠	c=1 d=7.56256e-214 t=116448
hao zhi hou 	號之後	c=1 d=5.30787e-108 t=116448
hao zhuan 	好賺	c=1 d=1.60584e-131 t=116448
he 	合	c=62 d=0.0636091 t=116448
he 	和	c=709 d=7.56625 t=116448
he 	喝	c=5 d=1.87898 t=116448
he 	核	c=1 d=0.264477 t=116448
he ban ben 	和版本	c=1 d=4.23005e-26 t=116448
he bing 	合併	c=8 d=1.44216e-29 t=116448
he bing hen jiu 	合併很久	c=1 d=9.23693e-214 t=116448
he bu he 	合不合	c=2 d=2.21845e-80 t=116448
he cheng 	合成	c=2 d=9.25832e-27 t=116448
he fa 	合法	c=2 d=1.33926e-46 t=116448
he ge 	合格	c=4 d=3.13573e-63 t=116448
he ji 	合集	c=25 d=9.35329e-12 t=116448
he ji ti yan 	合集體驗	c=1 d=1.71893e-20 t=116448
he jiu 	喝酒	c=1 d=5.27455e-34 t=116448
he ku 	何苦	c=2 d=7.95564e-76 t=116448
he le 	喝了	c=1 d=0.47001 t=116448
he li 	合理	c=37 d=0.985111 t=116448
he li de 	合理的	c=1 d=4.48707e-161 t=116448
he li dian 	合理點	c=1 d=3.20705e-151 t=116448
he liu 	合流	c=23 d=4.08816e-07 t=116448
he long 	和龍	c=0 d=0.0909373 t=116448
he long jian 	和龍建	c=1 d=0.913931 t=116448
he ni 	和你	c=5 d=7.43091e-37 t=116448
he ru 	合入	c=102 d=0.204117 t=116448
he ru le 	合入了	c=6 d=8.12293e-18 t=116448
he ru ren 	合入人	c=1 d=1.89585e-143 t=116448
he shi 	合適	c=12 d=3.23762e-70 t=116448
he shi 	和勢	c=1 d=7.87522e-220 t=116448
he ta 	和她	c=1 d=0.704688 t=116448
he tong 	合同	c=1 d=0.408607 t=116448
he wo 	和我	c=3 d=0.726149 t=116448
he wo men 	和我們	c=2 d=5.21996e-88 t=116448
he xin 	和信	c=1 d=1.15339e-208 t=116448
he xin 	核心	c=31 d=0.00373503 t=116448
he xin biao 	核心表	c=6 d=1.18564e-97 t=116448
he xing 	合型	c=3 d=1.45659e-101 t=116448
he yi 	合一	c=0 d=1.64208e-218 t=116448
he yi xia 	合一下	c=1 d=1.65032e-217 t=116448
he yin 	和音	c=0 d=1.79268e-74 t=116448
he ying 	合影	c=1 d=2.47885e-121 t=116448
he zhe ge 	和這個	c=3 d=3.77694e-46 t=116448
he zi 	盒子	c=1 d=7.67523e-94 t=116448
he zuo 	合作	c=1 d=3.29842e-158 t=116448
hei 	黑	c=8 d=0.985112 t=116448
hei bai 	黑白	c=1 d=7.84838e-33 t=116448
hei ban 	黑板	c=1 d=8.03834e-79 t=116448
hei bian 	黑邊	c=3 d=1.10204e-127 t=116448
hei chan 	黑產	c=3 d=6.84538e-42 t=116448
hei hua sha shou 	黑花殺手	c=0 d=7.95564e-76 t=116448
hei jiao 	黑椒	c=0 d=0.0130029 t=116448
hei jiao ji kuai 	黑椒雞塊	c=1 d=0.130681 t=116448
hei liu 	黑流	c=1 d=2.85109e-208 t=116448
hei ming dan 	黑名單	c=5 d=3.37845e-138 t=116448
hei ren 	黑人	c=4 d=2.69871 t=116448
hei se 	黑色	c=2 d=3.07511e-98 t=116448
hei she hui 	黑社會	c=1 d=9.51824e-214 t=116448
hei ye 	黑也	c=1 d=1.57105e-138 t=116448
hei ye 	黑夜	c=4 d=1.04155e-100 t=116448
hen 	很	c=82 d=1.23531 t=116448
hen 	恨	c=1 d=5.51151e-51 t=116448
hen 	狠	c=1 d=7.63875e-38 t=116448
hen biao zhun 	很標準	c=1 d=1.22179e-180 t=116448
hen bie niu 	很彆扭	c=1 d=3.50955e-182 t=116448
hen bu cuo 	很不錯	c=2 d=4.07695e-151 t=116448
hen bu neng 	恨不能	c=1 d=9.91947e-141 t=116448
hen chang 	很長	c=2 d=4.24695e-161 t=116448
hen da 	很大	c=8 d=0.511708 t=116448
hen di 	很低	c=2 d=1.7614e-33 t=116448
hen dong 	很懂	c=1 d=9.25513e-149 t=116448
hen du 	狠毒	c=1 d=0.506617 t=116448
hen duan 	很短	c=2 d=3.45976e-161 t=116448
hen duo 	很多	c=43 d=1.30776 t=116448
hen duo ge 	很多個	c=1 d=3.25673e-126 t=116448
hen duo luo ji 	很多邏輯	c=1 d=1.7331e-234 t=116448
hen duo qi ta 	很多其他	c=1 d=1.39947e-101 t=116448
hen duo wen jian 	很多文件	c=1 d=0.856415 t=116448
hen e 	恨惡	c=0 d=6.10264e-221 t=116448
hen e xi 	很惡習	c=1 d=5.67651e-192 t=116448
hen e xin 	恨惡心	c=1 d=6.13323e-220 t=116448
hen fan 	很煩	c=3 d=0.609571 t=116448
hen gan 	很乾	c=1 d=2.8247e-40 t=116448
hen gan 	很敢	c=1 d=2.89621e-40 t=116448
hen gao 	很高	c=1 d=1.32891e-110 t=116448
hen hao 	很好	c=10 d=1.13918e-33 t=116448
hen hao yong 	很好用	c=3 d=1.68176e-191 t=116448
hen hen 	狠狠	c=1 d=1.14246e-243 t=116448
hen huai yi 	很懷疑	c=1 d=7.16609e-110 t=116448
hen hun luan 	很混亂	c=1 d=1.76811e-234 t=116448
hen ji 	很急	c=2 d=0.0569831 t=116448
hen ji 	痕跡	c=1 d=0.29523 t=116448
hen jian dan 	很簡單	c=3 d=8.61944e-106 t=116448
hen jin 	很近	c=2 d=2.07084e-241 t=116448
hen jing 	很靜	c=1 d=8.78103e-148 t=116448
hen jiu 	很久	c=16 d=0.514273 t=116448
hen ka 	很卡	c=1 d=1 t=116448
hen kai xin 	很開心	c=2 d=2.10366e-102 t=116448
hen kuai 	很快	c=3 d=0.955997 t=116448
hen ma fan 	很麻煩	c=1 d=6.23202e-114 t=116448
hen nan 	很難	c=3 d=2.40944e-81 t=116448
hen nan gao 	很難搞	c=1 d=1.01812e-123 t=116448
hen nan shou 	很難受	c=1 d=1.65036e-188 t=116448
hen neng 	很能	c=1 d=2.44395e-160 t=116448
hen pa 	很怕	c=2 d=8.83699e-17 t=116448
hen pin fan 	很頻繁	c=1 d=1.58965e-100 t=116448
hen qi dai 	很期待	c=1 d=0.537945 t=116448
hen qi guai 	很奇怪	c=2 d=1.04282e-140 t=116448
hen qiang 	很強	c=3 d=2.31504e-53 t=116448
hen qiang de 	很強的	c=1 d=2.32664e-52 t=116448
hen qing 	很輕	c=0 d=1.08124e-155 t=116448
hen qing chu 	很清楚	c=6 d=1.16002e-11 t=116448
hen ren zhen 	很認真	c=1 d=1.26664e-163 t=116448
hen rong 	很融	c=1 d=6.44131e-179 t=116448
hen rong yi 	很容易	c=4 d=1.39263e-14 t=116448
hen shao 	很少	c=5 d=1.62219e-15 t=116448
hen shao ren 	很少人	c=1 d=1.56736e-81 t=116448
hen shen qi 	很神奇	c=4 d=2.20281e-85 t=116448
hen shi bai 	很失敗	c=1 d=2.39571e-102 t=116448
hen shuai 	很帥	c=1 d=9.25633e-33 t=116448
hen tong ku 	很痛苦	c=2 d=1.0951e-10 t=116448
hen xi 	很細	c=1 d=9.18796e-34 t=116448
hen xi huan 	很喜歡	c=1 d=0.343009 t=116448
hen xia ren 	很嚇人	c=1 d=3.4746e-35 t=116448
hen xian mu 	很羨慕	c=1 d=1.05467e-39 t=116448
hen xiang 	很想	c=4 d=2.9889e-87 t=116448
hen xiao 	很小	c=2 d=0.00620385 t=116448
hen yan ge 	很嚴格	c=1 d=3.05375e-163 t=116448
hen you 	很有	c=3 d=0.472367 t=116448
hen you hao 	很友好	c=1 d=6.41287e-127 t=116448
hen you yi si 	很有意思	c=1 d=1.04753e-105 t=116448
hen zai yi 	很在意	c=1 d=0.806541 t=116448
hen zao 	很早	c=3 d=1.03865e-05 t=116448
hen zheng chang 	很正常	c=2 d=2.27965e-107 t=116448
hen zheng chang de 	很正常的	c=1 d=2.29107e-106 t=116448
hen zhi 	很直	c=1 d=1.94577e-184 t=116448
hen zhong yao 	很重要	c=1 d=0.802519 t=116448
heng 	橫	c=31 d=1.92148e-07 t=116448
heng lan 	横栏	c=1 d=1.42764e-12 t=116448
heng shu 	橫豎	c=1 d=4.26837e-132 t=116448
heng xin 	恆心	c=1 d=1.61103e-22 t=116448
hong 	哄	c=1 d=0.548811 t=116448
hong 	宏	c=15 d=6.53383e-06 t=116448
hong 	紅	c=9 d=1.93124 t=116448
hong 	虹	c=4 d=1.08289e-33 t=116448
hong 	鴻	c=3 d=1.36901e-48 t=116448
hong bao 	紅包	c=7 d=5.69139e-32 t=116448
hong dian 	紅點	c=59 d=0.226503 t=116448
hong ding yi 	宏定義	c=1 d=1.91668e-242 t=116448
hong kuang 	紅礦	c=0 d=2.97367e-28 t=116448
hong kuang zhong 	紅礦中	c=1 d=2.98858e-27 t=116448
hong le 	紅了	c=1 d=1.45234e-243 t=116448
hong lou 	紅樓	c=2 d=1.21991e-15 t=116448
hong se 	紅色	c=5 d=3.13632e-20 t=116448
hong wai 	紅外	c=1 d=0.980199 t=116448
hong wen 	紅溫	c=1 d=7.24498e-33 t=116448
hong yan 	紅顏	c=1 d=1 t=116448
hong zhong 	紅腫	c=1 d=0.965605 t=116448
hou 	後	c=164 d=3.92223 t=116448
hou ai 	候愛	c=1 d=3.12596e-232 t=116448
hou hai 	后海	c=2 d=2.67701e-165 t=116448
hou hou 	吼吼	c=1 d=7.82946e-34 t=116448
hou lai 	後來	c=6 d=0.256661 t=116448
hou lai fa xian 	後來發現	c=2 d=1.47758e-111 t=116448
hou long 	喉嚨	c=3 d=0.451582 t=116448
hou mian 	後面	c=92 d=0.545041 t=116448
hou mian kan xia 	後面看下	c=1 d=1.5544e-101 t=116448
hou mian le 	後面了	c=1 d=4.85433e-116 t=116448
hou mian ye hui 	後面也會	c=1 d=2.86447e-28 t=116448
hou qi 	後期	c=2 d=0.00332928 t=116448
hou shi ji fa 	鱟試劑法	c=0 d=1.30583e-52 t=116448
hou ta si 	後鉈絲	c=1 d=1.60192e-161 t=116448
hou tai 	後台	c=308 d=2.1609 t=116448
hou tai de 	後台的	c=1 d=1.08174e-42 t=116448
hou tai ha 	後台哈	c=1 d=3.13619e-241 t=116448
hou ti 	後體	c=0 d=1.28132e-35 t=116448
hou ti a 	後體啊	c=1 d=1.28774e-34 t=116448
hou tian 	後天	c=7 d=0.565525 t=116448
hou tiao 	後調	c=1 d=4.99755e-17 t=116448
hou tou 	後頭	c=1 d=3.15308e-216 t=116448
hou xu 	後續	c=55 d=0.035845 t=116448
hou xu ya 	後續牙	c=1 d=1.19365e-200 t=116448
hou xu yao 	後需要	c=2 d=1.50181e-49 t=116448
hou yi zheng 	後遺症	c=1 d=1.22595e-220 t=116448
hou zhi 	後置	c=2 d=1.71014e-76 t=116448
hou zhui 	後綴	c=3 d=0.794534 t=116448
hu 	胡	c=1 d=1.49758e-104 t=116448
hu chi 	互斥	c=5 d=6.95289e-137 t=116448
hu chu 	呼出	c=1 d=5.79927e-179 t=116448
hu die 	蝴蝶	c=1 d=7.42965e-35 t=116448
hu dong 	互動	c=28 d=0.021494 t=116448
hu er 	虎儿	c=0 d=2.78875e-243 t=116448
hu fu pin 	護膚品	c=1 d=0.0378168 t=116448
hu jia 	胡加	c=1 d=0.600496 t=116448
hu kou 	戶口	c=1 d=4.44758e-204 t=116448
hu lai he qu 	呼来喝去	c=1 d=1.80929e-152 t=116448
hu lian wang 	互聯網	c=2 d=1.99915e-32 t=116448
hu lu 	葫蘆	c=1 d=6.78722e-118 t=116448
hu luan 	胡亂	c=1 d=1.28643e-22 t=116448
hu lve 	忽略	c=18 d=0.50409 t=116448
hu men 	虎門	c=1 d=0.501576 t=116448
hu nong 	糊弄	c=1 d=0.677056 t=116448
hu pu 	虎扑	c=1 d=1.78374e-73 t=116448
hu qi 	呼起	c=2 d=2.64975e-28 t=116448
hu xi 	呼吸	c=1 d=2.35157e-236 t=116448
hu xiang 	互相	c=8 d=9.29474e-94 t=116448
hu yan 	護眼	c=2 d=2.13707e-162 t=116448
hua 	化	c=20 d=0.0695993 t=116448
hua 	滑	c=11 d=1.50078e-41 t=116448
hua 	畫	c=6 d=9.48752e-49 t=116448
hua 	花	c=12 d=0.133988 t=116448
hua 	華	c=2 d=4.34008e-34 t=116448
hua 	話	c=111 d=0.0443794 t=116448
hua bu hua suan 	話不划算	c=1 d=2.3537e-41 t=116448
hua cong 	花叢	c=1 d=7.23518e-164 t=116448
hua dong 	滑動	c=19 d=2.23461e-25 t=116448
hua fei 	花費	c=1 d=8.25086e-180 t=116448
hua fen 	劃分	c=11 d=0.0274607 t=116448
hua fen le 	劃分了	c=1 d=1.66722e-43 t=116448
hua ge 	花個	c=1 d=1.79483e-234 t=116448
hua hen 	劃痕	c=1 d=0.927743 t=116448
hua hua 	畫畫	c=1 d=7.53478e-112 t=116448
hua jia 	畫家	c=1 d=3.47555e-97 t=116448
hua jin qu 	滑進去	c=1 d=2.54101e-177 t=116448
hua le 	花了	c=3 d=0.620699 t=116448
hua mian 	畫面	c=1 d=2.36568e-130 t=116448
hua nan 	華南	c=1 d=0.941765 t=116448
hua ru 	劃入	c=1 d=1.38535e-70 t=116448
hua shi ai 	花是愛	c=0 d=7.95564e-76 t=116448
hua shi ren 	話石人	c=1 d=9.85729e-214 t=116448
hua shuo 	話說	c=1 d=6.81566e-79 t=116448
hua suan 	划算	c=1 d=0.0982736 t=116448
hua ti 	話題	c=18 d=1.42267e-49 t=116448
hua ti xia 	話題下	c=1 d=1.24193e-49 t=116448
hua ti ye 	話題頁	c=2 d=4.18805e-175 t=116448
hua ti yi 	話題一	c=1 d=1.13019e-175 t=116448
hua wei 	華為	c=5 d=1.93143 t=116448
hua xin 	花心	c=1 d=7.28253e-35 t=116448
hua xue 	滑雪	c=3 d=4.23419e-230 t=116448
hua yuan 	花園	c=2 d=7.18586e-164 t=116448
hua zou 	滑走	c=2 d=1.10916e-13 t=116448
huai 	壞	c=1 d=3.63246e-234 t=116448
huai jiu 	懷舊	c=1 d=3.08861e-32 t=116448
huai le 	壞了	c=1 d=0.244143 t=116448
huai xi guan 	壞習慣	c=1 d=0.377192 t=116448
huai yi 	怀一	c=1 d=3.52331e-228 t=116448
huai yi 	懷疑	c=27 d=2.06576e-24 t=116448
huai yun 	懷孕	c=1 d=8.84094e-81 t=116448
huan 	換	c=23 d=6.0427e-51 t=116448
huan 	緩	c=5 d=5.07598e-16 t=116448
huan 	還	c=4 d=0.657047 t=116448
huan bao 	換包	c=5 d=1.79964e-78 t=116448
huan cheng 	換成	c=2 d=1.34381e-06 t=116448
huan chong 	緩衝	c=1 d=1.45931e-123 t=116448
huan cun 	緩存	c=62 d=0.980199 t=116448
huan ge 	換個	c=7 d=1.64177e-24 t=116448
huan hang 	換行	c=17 d=4.5643e-09 t=116448
huan jie 	環節	c=29 d=0.157934 t=116448
huan jing 	環境	c=104 d=1.78165 t=116448
huan jing xia 	環境下	c=3 d=2.56636e-88 t=116448
huan kuan 	還款	c=1 d=8.48732e-42 t=116448
huan kuan ji hua 	還款計劃	c=0 d=8.46398e-40 t=116448
huan le 	換了	c=6 d=4.54976e-89 t=116448
huan le 	歡樂	c=1 d=5.54279e-235 t=116448
huan suan 	換算	c=1 d=0.99005 t=116448
huan wo 	幻我	c=1 d=7.14903e-82 t=116448
huan xi 	歡喜	c=1 d=6.6891e-35 t=116448
huan xin 	換新	c=1 d=1 t=116448
huan yi 	換異	c=1 d=2.36124e-108 t=116448
huan yi huan 	換異換	c=3 d=1.15845e-233 t=116448
huan ying 	歡迎	c=1 d=5.5749e-156 t=116448
huan yuan 	還原	c=19 d=5.54962e-28 t=116448
huan yuan ba 	還原吧	c=1 d=3.54278e-234 t=116448
huang 	慌	c=1 d=2.55358e-235 t=116448
huang 	黃	c=5 d=3.92774e-36 t=116448
huang di 	荒地	c=0 d=7.20691e-119 t=116448
huang hang 	黄航	c=1 d=9.3142e-165 t=116448
huang hu 	恍惚	c=1 d=4.53506e-51 t=116448
huang jia ka fei 	皇家咖啡	c=0 d=1.30583e-52 t=116448
huang se 	黃色	c=1 d=6.88327e-195 t=116448
hui 	回	c=62 d=0.190025 t=116448
hui 	惠	c=10 d=2.16794e-15 t=116448
hui 	慧	c=14 d=1.33115e-09 t=116448
hui 	暉	c=2 d=7.15315e-30 t=116448
hui 	會	c=388 d=4.91973 t=116448
hui 	灰	c=1 d=5.2502e-09 t=116448
hui 	輝	c=6 d=3.24763e-05 t=116448
hui ba 	會把	c=2 d=1.56768e-54 t=116448
hui bao 	回報	c=23 d=1.67806e-79 t=116448
hui bao guang 	會曝光	c=1 d=2.0691e-113 t=116448
hui bei 	會被	c=9 d=3.76014e-23 t=116448
hui bi 	會比	c=1 d=3.21172e-80 t=116448
hui bian 	彙編	c=1 d=1.00893e-222 t=116448
hui bian 	會變	c=1 d=7.30914e-166 t=116448
hui bu 	回補	c=0 d=4.2841e-235 t=116448
hui bu hu 	回補胡	c=1 d=4.30558e-234 t=116448
hui bu hui 	會不會	c=22 d=6.04321e-15 t=116448
hui bu yi hui 	會不一會	c=2 d=2.67345e-69 t=116448
hui chan 	灰产	c=1 d=1.11994e-156 t=116448
hui che 	回車	c=1 d=3.38351e-46 t=116448
hui chu fa 	會觸發	c=1 d=2.68066e-130 t=116448
hui chu xian 	會出現	c=3 d=4.59823e-82 t=116448
hui da 	回答	c=3 d=1.16803e-62 t=116448
hui dao 	回到	c=5 d=0.288125 t=116448
hui dao le 	回到了	c=1 d=3.93016e-102 t=116448
hui dao zhi 	會導致	c=6 d=2.30107e-69 t=116448
hui de 	會的	c=4 d=8.87065e-48 t=116448
hui diao 	毀掉	c=1 d=4.2921e-109 t=116448
hui diu shi 	會丟失	c=1 d=0.00390695 t=116448
hui du 	灰度	c=99 d=4.17075e-07 t=116448
hui du bao 	灰度包	c=1 d=1.36943e-81 t=116448
hui du qi 	灰度期	c=1 d=7.81697e-74 t=116448
hui du qi jian 	灰度期間	c=1 d=8.29893e-72 t=116448
hui dui 	會對	c=1 d=3.73936e-46 t=116448
hui fu 	回覆	c=133 d=0.666112 t=116448
hui fu 	恢復	c=13 d=0.878095 t=116448
hui gui 	回歸	c=117 d=0.831104 t=116448
hui gui le 	回歸了	c=1 d=5.22e-235 t=116448
hui gui xia 	回歸下	c=2 d=1.55053e-88 t=116448
hui he 	回合	c=1 d=8.87712e-129 t=116448
hui hua 	會話	c=1 d=4.12467e-229 t=116448
hui hui 	回回	c=1 d=7.15025e-84 t=116448
hui hui 	慧慧	c=11 d=0.00089256 t=116448
hui ji ji 	會積極	c=1 d=5.6767e-163 t=116448
hui jia 	回家	c=6 d=0.625003 t=116448
hui jian 	會見	c=1 d=1.60955e-70 t=116448
hui jiang 	會將	c=2 d=6.61465e-21 t=116448
hui jie shou 	會接受	c=1 d=3.11319e-37 t=116448
hui jing 	汇景	c=0 d=0.0138761 t=116448
hui jing hao yuan 	汇景豪苑	c=1 d=0.139456 t=116448
hui lai 	回來	c=24 d=1.02273 t=116448
hui le 	回了	c=2 d=5.85451e-26 t=116448
hui lv 	匯率	c=1 d=4.55289e-244 t=116448
hui o 	會哦	c=1 d=2.08684e-37 t=116448
hui pao 	會跑	c=1 d=1.67554e-219 t=116448
hui qu 	回去	c=13 d=0.121845 t=116448
hui qu 	會去	c=1 d=1.14925e-19 t=116448
hui qu le 	回去了	c=1 d=0.25538 t=116448
hui se 	灰色	c=5 d=4.87084e-09 t=116448
hui shang 	會上	c=1 d=8.15453e-42 t=116448
hui shi 	回事	c=2 d=8.64617e-113 t=116448
hui shi 	會是	c=3 d=1.45544e-33 t=116448
hui shi yong 	會使用	c=1 d=1.50509e-104 t=116448
hui shou 	回收	c=8 d=5.62017e-16 t=116448
hui si 	會斯	c=0 d=6.44611e-130 t=116448
hui su 	回溯	c=7 d=0.00337959 t=116448
hui tai 	回臺	c=1 d=2.42085e-19 t=116448
hui tou 	回头	c=1 d=1.82102e-81 t=116448
hui tui 	回退	c=3 d=1.08726e-88 t=116448
hui wen 	會問	c=1 d=2.85807e-178 t=116448
hui xia fa 	會下發	c=2 d=3.56293e-95 t=116448
hui xiu 	惠秀	c=1 d=1.13934e-64 t=116448
hui yi 	會議	c=35 d=0.121317 t=116448
hui yi shi 	會議室	c=3 d=2.06179e-42 t=116448
hui yong dao 	會永道	c=1 d=3.89851e-242 t=116448
hui you 	會有	c=41 d=4.18511e-18 t=116448
hui you wen ti 	會有問題	c=1 d=3.29313e-51 t=116448
hui you yi ge 	會有一個	c=1 d=3.66223e-183 t=116448
hui yuan 	會員	c=11 d=2.25949e-31 t=116448
hui zai 	會在	c=6 d=1.46398e-43 t=116448
hui zen me 	回怎麼	c=2 d=9.09101e-115 t=116448
hui zhi 	繪制	c=1 d=2.55375e-177 t=116448
hui zong 	彙總	c=30 d=1.27903e-20 t=116448
hun 	婚	c=1 d=4.65844e-102 t=116448
hun 	混	c=5 d=1.31823e-74 t=116448
hun bian 	混編	c=1 d=2.53979e-142 t=116448
hun dong 	混动	c=1 d=1.39877e-242 t=116448
hun he 	混合	c=1 d=2.99063e-182 t=116448
hun he jing kuang 	混合精礦	c=0 d=8.46398e-40 t=116448
hun li 	婚禮	c=1 d=1.79695e-101 t=116448
hun luan 	混亂	c=4 d=0.135335 t=116448
hun luan le 	混亂了	c=1 d=5.64322e-211 t=116448
hun mi 	昏迷	c=1 d=3.36072e-231 t=116448
hun shui mo yu 	混水摸魚	c=1 d=6.30491e-45 t=116448
hun yin 	婚姻	c=1 d=0.631283 t=116448
hun yong 	混用	c=1 d=7.6377e-07 t=116448
huo 	嚯	c=1 d=4.30729e-33 t=116448
huo 	或	c=21 d=0.000902899 t=116448
huo 	活	c=2 d=2.2285e-45 t=116448
huo 	火	c=1 d=2.89553e-96 t=116448
huo ban 	夥伴	c=2 d=3.14161e-85 t=116448
huo dong 	活動	c=25 d=8.97106e-17 t=116448
huo dong ye 	活動頁	c=1 d=4.00699e-212 t=116448
huo hu 	或湖	c=1 d=2.38701e-118 t=116448
huo hu 	火湖	c=2 d=4.8834e-118 t=116448
huo hu 	火狐	c=10 d=0.980199 t=116448
huo hu cha jian 	火狐插件	c=1 d=9.61195e-241 t=116448
huo hu liu lan qi 	火狐瀏覽器	c=1 d=0.96079 t=116448
huo jiang 	獲獎	c=1 d=6.4562e-118 t=116448
huo li 	活力	c=1 d=2.93401e-163 t=116448
huo qu 	獲取	c=40 d=0.489193 t=116448
huo qu dao 	獲取到	c=3 d=1.33416e-30 t=116448
huo shui 	活水	c=2 d=1.20962e-33 t=116448
