# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	325666
#@/user_id	data
a 	啊	c=448 d=2.53214 t=325666
ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈	c=2 d=9.6341e-33 t=325666
ha ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈哈	c=2 d=1.15094e-95 t=325666
ha ha ha ha ha ha ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈哈哈哈哈哈哈	c=1 d=1.92844e-167 t=325666
ha ha ha ha ha ha ha ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈哈哈哈哈哈哈哈	c=1 d=7.0316e-93 t=325666
ha ji 	哈吉	c=0 d=0.00368832 t=325666
ha ji mi 	哈吉米	c=1 d=0.037068 t=325666
ha lou 	哈嘍	c=2 d=2.86788e-42 t=325666
ha luo 	哈囉	c=1 d=3.04764e-257 t=325666
ha ma si 	哈馬斯	c=1 d=1.08933e-271 t=325666
ha pi 	哈皮	c=1 d=1.24338e-239 t=325666
ha sa de 	哈薩德	c=0 d=7.95564e-76 t=325666
ha si hu 	哈似乎	c=1 d=4.04133e-136 t=325666
ha ye ke 	哈耶克	c=1 d=0.597501 t=325666
ha zi 	哈茲	c=0 d=1.99543e-158 t=325666
ha zi a 	哈茲啊	c=1 d=2.00544e-157 t=325666
hai 	嗨	c=6 d=4.09905e-97 t=325666
hai 	孩	c=3 d=1.89979e-138 t=325666
hai 	害	c=2 d=1.29689e-29 t=325666
hai 	海	c=40 d=0.71177 t=325666
hai 	還	c=281 d=0.924348 t=325666
hai bao 	海豹	c=1 d=8.59189e-39 t=325666
hai bei 	還被	c=2 d=2.54323e-11 t=325666
hai bu 	還不	c=6 d=3.21532e-05 t=325666
hai bu cuo 	還不錯	c=1 d=0.00120654 t=325666
hai bu gou 	還不夠	c=3 d=2.34802e-101 t=325666
hai bu ke yi 	還不可以	c=1 d=2.68159e-281 t=325666
hai bu ken 	還不肯	c=1 d=5.00589e-66 t=325666
hai bu neng 	還不能	c=5 d=1.52767e-44 t=325666
hai bu que ding 	還不確定	c=1 d=3.96181e-20 t=325666
hai bu ru 	還不如	c=3 d=0.00359607 t=325666
hai bu shi 	還不是	c=4 d=1.13119e-09 t=325666
hai bu tai 	還不太	c=1 d=1.71183e-177 t=325666
hai bu tong 	還不同	c=1 d=1.16977e-80 t=325666
hai bu xia ban 	還不下班	c=5 d=2.07996e-57 t=325666
hai bu xing 	海步行	c=4 d=2.42167e-23 t=325666
hai bu yao 	還不要	c=1 d=3.42859e-84 t=325666
hai bu yong 	還不用	c=1 d=1.13481e-76 t=325666
hai bu zhi 	還不止	c=1 d=6.72627e-12 t=325666
hai bu zhi chi 	還不支持	c=1 d=1.94565e-242 t=325666
hai bu zhi dao 	還不知道	c=3 d=4.3327e-14 t=325666
hai cha 	還差	c=2 d=5.70571e-76 t=325666
hai chu 	害處	c=1 d=6.75616e-211 t=325666
hai chu 	還出	c=1 d=6.79002e-211 t=325666
hai cun zai 	還存在	c=1 d=1.61719e-155 t=325666
hai de 	海德	c=7 d=4.09791e-35 t=325666
hai dei 	還得	c=68 d=0.000944363 t=325666
hai dei shi 	還得是	c=3 d=1.19514e-09 t=325666
hai di lao 	海底捞	c=1 d=1.46899e-230 t=325666
hai gei 	還給	c=1 d=6.36611e-41 t=325666
hai gei wo 	還給我	c=1 d=4.05152e-195 t=325666
hai gen 	還跟	c=1 d=2.26919e-52 t=325666
hai gen wo shuo 	還跟我說	c=1 d=2.0224e-21 t=325666
hai hao 	還好	c=92 d=0.414783 t=325666
hai hao ba 	還好吧	c=9 d=0.102797 t=325666
hai he 	還和	c=1 d=8.08904e-06 t=325666
hai hui 	海会	c=1 d=9.39311e-176 t=325666
hai hui 	還會	c=13 d=2.66582e-06 t=325666
hai hui si 	海会寺	c=1 d=1.31982e-235 t=325666
hai hui you 	還會有	c=1 d=3.10518e-183 t=325666
hai ji de 	還記得	c=1 d=5.30099e-34 t=325666
hai jia 	還加	c=0 d=1.13578e-87 t=325666
hai jia le 	還加了	c=1 d=1.14147e-86 t=325666
hai jiao 	海角	c=1 d=0.955997 t=325666
hai ka 	還卡	c=1 d=3.24987e-160 t=325666
hai kan dao 	還看到	c=1 d=1.35867e-194 t=325666
hai ke yi 	還可以	c=29 d=0.0122639 t=325666
hai liang 	海量	c=1 d=3.00451e-207 t=325666
hai me you 	還麼有	c=1 d=1.61533e-259 t=325666
hai mei 	還沒	c=105 d=0.97531 t=325666
hai mei fa 	還沒法	c=1 d=1.16819e-211 t=325666
hai mei hao 	還沒好	c=1 d=5.23758e-157 t=325666
hai mei jie 	還沒姐	c=1 d=1.25519e-115 t=325666
hai mei kan 	還沒看	c=1 d=9.27849e-208 t=325666
hai mei lai 	還沒來	c=0 d=1.49387e-164 t=325666
hai mei lai de 	還沒來的	c=1 d=1.50136e-163 t=325666
hai mei xia ban 	還沒下班	c=1 d=3.95604e-91 t=325666
hai mei yo 	還沒唷	c=1 d=8.48513e-274 t=325666
hai mei you 	還沒有	c=126 d=0.909373 t=325666
hai mian bao bao 	海綿寶寶	c=1 d=1.11412e-36 t=325666
hai nan 	海南	c=2 d=5.51437e-45 t=325666
hai nan 	還難	c=1 d=6.66188e-134 t=325666
hai neng 	還能	c=10 d=8.78544e-07 t=325666
hai neng yong 	還能用	c=1 d=4.27038e-20 t=325666
hai pa 	害怕	c=4 d=2.08783e-72 t=325666
hai pai 	海派	c=1 d=7.76161e-108 t=325666
hai qu 	還去	c=2 d=0.279431 t=325666
hai que 	還缺	c=1 d=5.16349e-254 t=325666
hai ren 	害人	c=1 d=1.45663e-72 t=325666
hai shang 	海上	c=2 d=0.639762 t=325666
hai shao 	還少	c=1 d=6.09433e-204 t=325666
hai shi 	海市	c=72 d=0.00434621 t=325666
hai shi 	還是	c=866 d=5.15063 t=325666
hai shi hui 	還是會	c=1 d=2.31063e-59 t=325666
hai shi shuo 	還是說	c=3 d=7.28702e-101 t=325666
hai shi ya 	海蝕崖	c=2 d=7.75576e-11 t=325666
hai shi you 	還是有	c=1 d=2.78597e-54 t=325666
hai shun li 	還順利	c=1 d=3.68023e-270 t=325666
hai shuo 	還說	c=2 d=0.00761538 t=325666
hai shuo dao 	還說到	c=1 d=0.0765355 t=325666
hai suan 	還算	c=2 d=9.19205e-98 t=325666
hai wei 	還未	c=20 d=7.28276e-06 t=325666
hai wen 	還問	c=1 d=6.93612e-138 t=325666
hai xian 	海鮮	c=1 d=0.774916 t=325666
hai xiang 	还相	c=3 d=3.80129e-05 t=325666
hai xiang pao 	还相跑	c=1 d=0.000382034 t=325666
hai xing 	還行	c=44 d=0.797401 t=325666
hai xing ba 	還行吧	c=2 d=3.86099e-99 t=325666
hai xu 	海鱮	c=0 d=1.07501e-234 t=325666
hai xu a 	海鱮啊	c=1 d=1.08039e-233 t=325666
hai xu yao 	還需要	c=43 d=0.379473 t=325666
hai yan zheng 	還炎症	c=1 d=6.01518e-21 t=325666
hai yang 	海洋	c=9 d=1.306e-14 t=325666
hai yao 	還要	c=16 d=0.860708 t=325666
hai yi 	還以	c=4 d=6.86566e-18 t=325666
hai yi wei 	還以爲	c=11 d=5.36255e-29 t=325666
hai ying gai 	還應該	c=1 d=2.3365e-278 t=325666
hai you 	還有	c=231 d=2.00217 t=325666
hai you dian 	還有點	c=1 d=1.10349e-129 t=325666
hai you dian duo 	還有點多	c=1 d=1.2205e-197 t=325666
hai you duo shao tian 	還有多少天	c=0 d=1.72508e-63 t=325666
hai you duo shao tian guo nian 	還有多少天過年	c=1 d=1.73373e-62 t=325666
hai you ge 	還有個	c=16 d=3.58175e-10 t=325666
hai you ji hui 	還有機會	c=1 d=3.10984e-230 t=325666
hai you mei you 	還有沒有	c=11 d=1.55858e-15 t=325666
hai you ne 	還有呢	c=1 d=4.82073e-05 t=325666
hai you shei 	還有誰	c=1 d=1.06491e-34 t=325666
hai you yi ge 	還有一個	c=1 d=8.68887e-24 t=325666
hai you yi xie 	還有一些	c=1 d=1.3847e-182 t=325666
hai you zhe ge 	還有這個	c=1 d=2.56393e-165 t=325666
hai you zhe zhong 	還有這種	c=1 d=1.19074e-230 t=325666
hai zai 	還在	c=81 d=0.543351 t=325666
hai zai bu zai 	還在不在	c=1 d=3.51e-66 t=325666
hai zai yong 	還在用	c=2 d=9.69e-101 t=325666
hai zeng jia 	還增加	c=1 d=3.3216e-64 t=325666
hai zhan shi 	還展示	c=1 d=4.34511e-77 t=325666
hai zhen 	還真	c=2 d=6.11337e-35 t=325666
hai zhen hao you 	還真好友	c=1 d=3.55543e-129 t=325666
hai zhen shi 	還真是	c=5 d=1.54255e-11 t=325666
hai zi 	孩子	c=1 d=1.47643e-25 t=325666
han 	含	c=8 d=0.927743 t=325666
han 	喊	c=9 d=1.33135e-14 t=325666
han 	汗	c=1 d=0.10383 t=325666
han 	涵	c=15 d=0.000443861 t=325666
han 	翰	c=2 d=9.19362e-100 t=325666
han 	韓	c=1 d=3.26772e-195 t=325666
han bao 	漢堡	c=1 d=8.65436e-36 t=325666
han gai 	涵蓋	c=2 d=5.49524e-75 t=325666
han guo 	韓國	c=1 d=5.64815e-45 t=325666
han lei 	韓磊	c=1 d=1.19344e-51 t=325666
han ni 	喊你	c=1 d=1.97482e-35 t=325666
han shi 	含识	c=2 d=2.36012e-73 t=325666
han shu 	函數	c=142 d=2.46614 t=325666
han shu ba 	函數吧	c=1 d=0.174645 t=325666
han shu kong jian 	函數空間	c=0 d=3.74243e-86 t=325666
han shu zhong 	函數中	c=1 d=1.97222e-137 t=325666
han yi 	含義	c=70 d=1 t=325666
han yi shang 	含義上	c=1 d=1.01122e-43 t=325666
han yi shi 	含義是	c=3 d=7.85481e-72 t=325666
han you 	含有	c=9 d=1.37236e-18 t=325666
han zi 	漢字	c=1 d=2.43922e-196 t=325666
hang 	杭	c=3 d=3.99943e-31 t=325666
hang 	航	c=11 d=3.72779e-33 t=325666
hang 	行	c=83 d=1.00001 t=325666
hang le 	行了	c=1 d=0.180866 t=325666
hang nei 	行內	c=1 d=3.41613e-100 t=325666
hang qing 	行情	c=1 d=6.89772e-14 t=325666
hang shu 	行數	c=23 d=0.0174579 t=325666
hang wen zi 	行文字	c=1 d=2.11808e-06 t=325666
hao 	好	c=401 d=0.802519 t=325666
hao 	浩	c=5 d=0.0720785 t=325666
hao 	號	c=174 d=0.475116 t=325666
hao 	豪	c=1 d=0.0138761 t=325666
hao ba 	好吧	c=15 d=0.00334597 t=325666
hao ban fa 	好辦法	c=1 d=2.03943e-237 t=325666
hao biao yan 	好表演	c=1 d=8.33404e-151 t=325666
hao bu hao 	好不好	c=4 d=4.43069e-21 t=325666
hao bu rong yi 	好不容易	c=1 d=3.81295e-40 t=325666
hao chan pin 	好產品	c=2 d=9.14398e-07 t=325666
hao cheng 	號稱	c=2 d=3.637e-43 t=325666
hao chi 	好喫	c=1 d=5.71385e-35 t=325666
hao chu 	好處	c=7 d=1.05708e-06 t=325666
hao de 	好的	c=210 d=0.810584 t=325666
hao de wo 	好的我	c=1 d=1.14809e-07 t=325666
hao di 	好滴	c=4 d=1.37242e-99 t=325666
hao dian 	好點	c=8 d=7.92578e-05 t=325666
hao dong xi 	好東西	c=4 d=0.784184 t=325666
hao duo 	好多	c=12 d=0.00128855 t=325666
hao duo ci 	好多次	c=2 d=0.806541 t=325666
hao duo le 	好多了	c=3 d=2.54575e-52 t=325666
hao duo ren 	好多人	c=2 d=3.33792e-151 t=325666
hao duo shou 	好多手	c=1 d=4.10379e-140 t=325666
hao fan 	好煩	c=1 d=4.64265e-209 t=325666
hao fang 	豪放	c=1 d=1.93199e-218 t=325666
hao fang fa 	好方法	c=1 d=1.25374e-219 t=325666
hao fei 	耗費	c=4 d=6.3813e-69 t=325666
hao gao 	好高	c=1 d=4.05015e-191 t=325666
hao ge ge 	好哥哥	c=2 d=1.15161e-43 t=325666
hao gui 	好貴	c=2 d=1.55838e-131 t=325666
hao guo 	好過	c=1 d=2.36012e-73 t=325666
hao han 	好漢	c=1 d=2.58936e-37 t=325666
hao han lu 	好漢路	c=1 d=2.37655e-37 t=325666
hao han po 	好漢坡	c=1 d=2.38846e-37 t=325666
hao hao 	好好	c=15 d=1.63877 t=325666
hao hao ting 	好好聽	c=1 d=2.8087e-32 t=325666
hao he 	好喝	c=1 d=1.12647e-48 t=325666
hao hua 	豪華	c=2 d=4.84556e-37 t=325666
hao huai 	好壞	c=1 d=1.24349e-05 t=325666
hao huo 	好貨	c=2 d=1.18746e-102 t=325666
hao ji 	好幾	c=1 d=0.0790571 t=325666
hao ji ci 	好幾次	c=5 d=3.05216e-10 t=325666
hao ji ge 	好幾個	c=10 d=0.0222592 t=325666
hao ji tian 	好幾天	c=1 d=9.05066e-239 t=325666
hao ji zhou 	好幾周	c=1 d=0.794534 t=325666
hao jia huo 	好傢伙	c=1 d=1.13725e-160 t=325666
hao jie guo 	好結果	c=1 d=0.000236397 t=325666
hao jie jie 	號姐姐	c=1 d=1.00464e-25 t=325666
hao jie jue 	好解決	c=1 d=1.08566e-202 t=325666
hao jiu 	好久	c=7 d=0.976642 t=325666
hao kan 	好看	c=0 d=1.18371e-132 t=325666
hao kan dian 	好看點	c=1 d=1.18964e-131 t=325666
hao lai wu 	好萊塢	c=1 d=2.47861e-208 t=325666
hao le 	好了	c=23 d=0.318224 t=325666
hao luan 	好亂	c=1 d=2.76456e-169 t=325666
hao ma 	號碼	c=21 d=0.951229 t=325666
hao miao 	毫秒	c=6 d=0.000652304 t=325666
hao nan 	好難	c=1 d=1.28442e-33 t=325666
hao peng you 	好朋友	c=3 d=0.951229 t=325666
hao pin le 	好品了	c=1 d=1.31011e-207 t=325666
hao qi 	好奇	c=5 d=4.51106e-18 t=325666
hao qiao 	好巧	c=1 d=4.68065e-11 t=325666
hao qing 	豪情	c=1 d=3.04868e-261 t=325666
hao shi 	好事	c=3 d=0.00120654 t=325666
hao shi 	好使	c=1 d=4.21513e-102 t=325666
hao shi 	耗時	c=198 d=2.33301 t=325666
hao shou 	好受	c=1 d=1.03166e-190 t=325666
hao shou 	好手	c=1 d=4.20094e-33 t=325666
hao shuo 	好說	c=1 d=1.18503e-56 t=325666
hao tiao zheng 	好調整	c=1 d=2.76436e-80 t=325666
hao wan 	好玩	c=4 d=6.42811e-08 t=325666
hao xi huan 	好喜歡	c=1 d=8.90796e-111 t=325666
hao xian 	號線	c=2 d=9.14494e-67 t=325666
hao xian mu 	好羨慕	c=1 d=2.18781e-181 t=325666
hao xiang 	好像	c=28 d=1.67854e-05 t=325666
hao xiang 	好香	c=1 d=8.91821e-07 t=325666
hao xiang fa 	好想法	c=1 d=4.42865e-07 t=325666
hao xiao 	好笑	c=1 d=0.128735 t=325666
hao xiao xi 	好消息	c=1 d=3.12171e-216 t=325666
hao xin xi 	好信息	c=1 d=3.24224e-103 t=325666
hao xiong di 	好兄弟	c=2 d=0.251579 t=325666
hao yi 	好意	c=0 d=5.01154e-139 t=325666
hao yi dian 	好一點	c=6 d=1.59663e-34 t=325666
hao yi duan 	號一段	c=1 d=4.88764e-167 t=325666
hao yi hui 	好一會	c=1 d=3.15973e-182 t=325666
hao yi si 	好意思	c=1 d=1.29724e-91 t=325666
hao yo 	號喲	c=2 d=3.82233e-157 t=325666
hao yong 	好用	c=6 d=0.000100535 t=325666
hao you 	好友	c=190 d=1.41637e-07 t=325666
hao you le 	好友了	c=1 d=2.05026e-123 t=325666
hao you xuan ze 	好友選擇	c=2 d=1.73052e-67 t=325666
hao you xuan ze mian ban 	好友選擇面板	c=1 d=6.78057e-224 t=325666
hao yuan 	好遠	c=1 d=7.56256e-214 t=325666
hao zhi hou 	號之後	c=1 d=5.30787e-108 t=325666
hao zhuan 	好賺	c=1 d=1.60584e-131 t=325666
he 	合	c=148 d=0.886296 t=325666
he 	和	c=1920 d=7.56625 t=325666
he 	喝	c=7 d=1.87898 t=325666
he 	核	c=1 d=0.264477 t=325666
he an da 	何安达	c=1 d=8.23255e-07 t=325666
he bai 	鶴白	c=1 d=1.08476e-16 t=325666
he ban ben 	和版本	c=1 d=4.23005e-26 t=325666
he bing 	合併	c=50 d=3.11579e-08 t=325666
he bing hen jiu 	合併很久	c=1 d=9.23693e-214 t=325666
he bu he 	合不合	c=2 d=2.21845e-80 t=325666
he cha 	喝茶	c=1 d=5.71695e-11 t=325666
he chan pin 	和產品	c=1 d=3.55146e-204 t=325666
he chang 	合唱	c=3 d=0.113576 t=325666
he cheng 	合成	c=3 d=3.06851e-14 t=325666
he de 	喝的	c=2 d=6.79712e-47 t=325666
he de he neng 	何德何能	c=1 d=5.87809e-132 t=325666
he dian 	喝點	c=2 d=1.04942e-38 t=325666
he dui 	覈對	c=1 d=3.20462e-54 t=325666
he fa 	合法	c=2 d=1.33926e-46 t=325666
he gai 	合蓋	c=3 d=6.0144e-10 t=325666
he ge 	合格	c=7 d=0.111917 t=325666
he gui 	合規	c=3 d=1.60415e-199 t=325666
he ji 	合集	c=243 d=0.000251501 t=325666
he ji lie biao 	合集列表	c=1 d=1.86527e-40 t=325666
he ji mian ban 	合集面板	c=6 d=0.000176887 t=325666
he ji ti yan 	合集體驗	c=1 d=1.71893e-20 t=325666
he jiu 	喝酒	c=3 d=5.27455e-34 t=325666
he kou 	河口	c=1 d=8.37189e-263 t=325666
he kou shui 	喝口水	c=1 d=5.9846e-108 t=325666
he ku 	何苦	c=3 d=3.25527e-62 t=325666
he le 	喝了	c=1 d=0.47001 t=325666
he li 	合理	c=102 d=0.985111 t=325666
he li de 	合理的	c=1 d=4.48707e-161 t=325666
he li dian 	合理點	c=1 d=3.20705e-151 t=325666
he liu 	合流	c=216 d=2.65491 t=325666
he liu jie zhi 	合流截止	c=2 d=5.92972e-176 t=325666
he long 	和龍	c=0 d=0.0909373 t=325666
he long jian 	和龍建	c=1 d=0.913931 t=325666
he ni 	和你	c=24 d=0.00023056 t=325666
he ni men 	和你們	c=1 d=2.15639e-11 t=325666
he ping 	和平	c=12 d=0.754947 t=325666
he qing 	合情	c=1 d=2.80975e-07 t=325666
he ru 	合入	c=529 d=1.0168 t=325666
he ru hou 	合入後	c=2 d=4.0409e-76 t=325666
he ru le 	合入了	c=10 d=8.12293e-18 t=325666
he ru ren 	合入人	c=1 d=1.89585e-143 t=325666
he ru zhi hou 	合入之後	c=1 d=9.9407e-78 t=325666
he shang 	和尚	c=1 d=0.000385874 t=325666
he she ru 	和攝入	c=1 d=1.82777e-07 t=325666
he shi 	合適	c=34 d=0.00737249 t=325666
he shi 	和勢	c=3 d=2.40813e-104 t=325666
he ta 	和她	c=1 d=0.704688 t=325666
he ta men 	和他們	c=2 d=1.45733e-107 t=325666
he tong 	合同	c=9 d=0.408607 t=325666
he wo 	和我	c=5 d=0.726149 t=325666
he wo men 	和我們	c=4 d=5.21996e-88 t=325666
he xia qu 	喝下去	c=1 d=1.71245e-05 t=325666
he xin 	和信	c=1 d=1.15339e-208 t=325666
he xin 	核心	c=85 d=0.00878245 t=325666
he xin biao 	核心表	c=11 d=3.54859e-53 t=325666
he xing 	合型	c=9 d=4.22645e-16 t=325666
he yi 	合一	c=0 d=1.64208e-218 t=325666
he yi xia 	合一下	c=4 d=1.71152e-28 t=325666
he yin 	和音	c=0 d=1.79268e-74 t=325666
he ying 	合影	c=1 d=2.47885e-121 t=325666
he zhan 	核戰	c=1 d=3.46495e-208 t=325666
he zhe ge 	和這個	c=4 d=3.77694e-46 t=325666
he zhi qian 	和之前	c=3 d=1.11773e-74 t=325666
he zhong 	何中	c=1 d=1.02333e-36 t=325666
he zi 	盒子	c=3 d=2.90075e-29 t=325666
he zuo 	合作	c=9 d=1.47467e-11 t=325666
he zuo tuan dui 	合作團隊	c=1 d=1.35359e-150 t=325666
he zuo xu qiu 	合作需求	c=1 d=6.96051e-238 t=325666
hei 	黑	c=26 d=0.985112 t=325666
hei bai 	黑白	c=23 d=1.0902e-16 t=325666
hei bai ming dan 	黑白名單	c=3 d=2.53026e-61 t=325666
hei ban 	黑板	c=3 d=6.29935e-64 t=325666
hei bian 	黑邊	c=4 d=7.43146e-126 t=325666
hei chan 	黑產	c=3 d=6.84538e-42 t=325666
hei hua sha shou 	黑花殺手	c=0 d=7.95564e-76 t=325666
hei jiao 	黑椒	c=0 d=0.0130029 t=325666
hei jiao ji kuai 	黑椒雞塊	c=1 d=0.130681 t=325666
hei le 	黑了	c=1 d=2.62649e-37 t=325666
hei liu 	黑流	c=1 d=2.85109e-208 t=325666
hei ming 	黑名	c=1 d=1.36756e-65 t=325666
hei ming dan 	黑名單	c=29 d=3.92573e-30 t=325666
hei pao 	黑炮	c=0 d=3.92039e-15 t=325666
hei pao jiu cha dui 	黑炮糾察隊	c=1 d=3.94004e-14 t=325666
hei ping 	黑屏	c=2 d=2.28382e-10 t=325666
hei ren 	黑人	c=4 d=2.69871 t=325666
hei se 	黑色	c=4 d=1.90899e-58 t=325666
hei she 	黑蛇	c=1 d=7.84546e-58 t=325666
hei she hui 	黑社會	c=1 d=9.51824e-214 t=325666
hei shen hua 	黑深化	c=1 d=1.66756e-16 t=325666
hei ye 	黑也	c=1 d=1.57105e-138 t=325666
hei ye 	黑夜	c=23 d=0.0337087 t=325666
hen 	很	c=174 d=1.23531 t=325666
hen 	恨	c=1 d=5.51151e-51 t=325666
hen 	狠	c=2 d=1.91021e-26 t=325666
hen bao zha 	很爆炸	c=1 d=2.34852e-162 t=325666
hen bi yao 	很必要	c=1 d=7.27982e-60 t=325666
hen biao zhun 	很標準	c=1 d=1.22179e-180 t=325666
hen bie niu 	很彆扭	c=1 d=3.50955e-182 t=325666
hen bu cuo 	很不錯	c=2 d=4.07695e-151 t=325666
hen bu neng 	恨不能	c=1 d=9.91947e-141 t=325666
hen can 	很慘	c=1 d=2.90117e-207 t=325666
hen cha 	很差	c=1 d=0.67032 t=325666
hen chang 	很長	c=2 d=4.24695e-161 t=325666
hen da 	很大	c=11 d=0.511708 t=325666
hen da yi 	很大一	c=1 d=6.78172e-226 t=325666
hen di 	很低	c=4 d=9.61622e-10 t=325666
hen dong 	很懂	c=1 d=9.25513e-149 t=325666
hen du 	狠毒	c=1 d=0.506617 t=325666
hen duan 	很短	c=2 d=3.45976e-161 t=325666
hen dui 	很對	c=0 d=5.36173e-22 t=325666
hen dui o 	很對哦	c=1 d=5.38861e-21 t=325666
hen duo 	很多	c=79 d=1.30776 t=325666
hen duo di 	很多地	c=1 d=3.67531e-78 t=325666
hen duo ge 	很多個	c=1 d=3.25673e-126 t=325666
hen duo le 	很多了	c=1 d=7.76104e-19 t=325666
hen duo luo ji 	很多邏輯	c=1 d=1.7331e-234 t=325666
hen duo qi ta 	很多其他	c=1 d=1.39947e-101 t=325666
hen duo quan 	很多圈	c=1 d=2.15713e-15 t=325666
hen duo ren 	很多人	c=2 d=2.76265e-14 t=325666
hen duo tao 	很多套	c=1 d=3.42414e-10 t=325666
hen duo wen jian 	很多文件	c=1 d=0.856415 t=325666
hen duo zhong 	很多種	c=1 d=1.18069e-248 t=325666
hen e 	恨惡	c=0 d=6.10264e-221 t=325666
hen e xi 	很惡習	c=2 d=5.67651e-192 t=325666
hen e xin 	恨惡心	c=1 d=6.13323e-220 t=325666
hen fan 	很煩	c=3 d=0.609571 t=325666
hen fang bian 	很方便	c=2 d=4.83866e-78 t=325666
hen fo 	很佛	c=1 d=1.24413e-11 t=325666
hen fu zhi 	很複製	c=1 d=1.18325e-09 t=325666
hen gan 	很乾	c=1 d=2.8247e-40 t=325666
hen gan 	很敢	c=1 d=2.89621e-40 t=325666
hen gan 	很趕	c=1 d=1.09656e-55 t=325666
hen gao 	很高	c=5 d=5.46632e-13 t=325666
hen guan zhu 	很關注	c=1 d=3.83446e-253 t=325666
hen hao 	很好	c=21 d=1.47392e-05 t=325666
hen hao yong 	很好用	c=5 d=9.47813e-135 t=325666
hen hen 	狠狠	c=5 d=4.96807e-65 t=325666
hen huai yi 	很懷疑	c=1 d=7.16609e-110 t=325666
hen hun luan 	很混亂	c=4 d=2.88431e-21 t=325666
hen ji 	很急	c=2 d=0.0569831 t=325666
hen ji 	很擠	c=1 d=1.36644e-26 t=325666
hen ji 	痕跡	c=1 d=0.29523 t=325666
hen jian dan 	很簡單	c=7 d=2.83009e-33 t=325666
hen jin 	很緊	c=2 d=2.61979e-07 t=325666
hen jin 	很近	c=2 d=2.07084e-241 t=325666
hen jing 	很靜	c=1 d=8.78103e-148 t=325666
hen jiu 	很久	c=27 d=0.514273 t=325666
hen jiu le 	很久了	c=3 d=1.43353e-31 t=325666
hen ka 	很卡	c=1 d=1 t=325666
hen kai xin 	很開心	c=3 d=6.00905e-09 t=325666
hen ke qi 	很客氣	c=1 d=1.26169e-117 t=325666
hen keng 	很坑	c=1 d=6.44172e-121 t=325666
hen kuai 	很快	c=7 d=0.955997 t=325666
hen lan 	很爛	c=1 d=9.83645e-101 t=325666
hen le 	狠了	c=1 d=5.91819e-65 t=325666
hen lei 	很累	c=1 d=1.31738e-37 t=325666
hen luan 	很亂	c=2 d=9.20987e-62 t=325666
hen ma fan 	很麻煩	c=1 d=6.23202e-114 t=325666
hen man 	很慢	c=2 d=7.38002e-15 t=325666
hen man le 	很慢了	c=1 d=4.96368e-84 t=325666
hen ming xian 	很明顯	c=3 d=1.7646e-05 t=325666
hen nan 	很難	c=16 d=0.000110633 t=325666
hen nan gao 	很難搞	c=1 d=1.01812e-123 t=325666
hen nan shou 	很難受	c=1 d=1.65036e-188 t=325666
hen neng 	很能	c=1 d=2.44395e-160 t=325666
hen pa 	很怕	c=2 d=8.83699e-17 t=325666
hen piao liang 	很漂亮	c=1 d=0.0309618 t=325666
hen pin fan 	很頻繁	c=1 d=1.58965e-100 t=325666
hen pu tong 	很普通	c=1 d=0.000121572 t=325666
hen qi dai 	很期待	c=1 d=0.537945 t=325666
hen qi guai 	很奇怪	c=6 d=3.72261e-52 t=325666
hen qiang 	很強	c=4 d=2.31504e-53 t=325666
hen qiang de 	很強的	c=1 d=2.32664e-52 t=325666
hen qing 	很輕	c=0 d=1.08124e-155 t=325666
hen qing chu 	很清楚	c=9 d=1.16002e-11 t=325666
hen ren zhen 	很認真	c=2 d=1.08141e-09 t=325666
hen rong 	很融	c=1 d=6.44131e-179 t=325666
hen rong yi 	很容易	c=19 d=1.39263e-14 t=325666
hen shao 	很少	c=18 d=1.30355e-07 t=325666
hen shao jian 	很少見	c=1 d=1.81546e-192 t=325666
hen shao ren 	很少人	c=2 d=2.82413e-67 t=325666
hen shao you 	很少有	c=1 d=1.0667e-230 t=325666
hen shen qi 	很神奇	c=6 d=6.53574e-78 t=325666
hen shi bai 	很失敗	c=1 d=2.39571e-102 t=325666
hen shuai 	很帥	c=1 d=9.25633e-33 t=325666
hen sui yi 	很隨意	c=1 d=1.32238e-199 t=325666
hen tong 	很痛	c=1 d=1.38116e-05 t=325666
hen tong ku 	很痛苦	c=6 d=1.0951e-10 t=325666
hen xi 	很細	c=1 d=9.18796e-34 t=325666
hen xi huan 	很喜歡	c=2 d=0.343009 t=325666
hen xia ren 	很嚇人	c=1 d=3.4746e-35 t=325666
hen xian mu 	很羨慕	c=1 d=1.05467e-39 t=325666
hen xiang 	很想	c=9 d=3.63526e-08 t=325666
hen xiao 	很小	c=3 d=0.00620385 t=325666
hen xin 	狠心	c=1 d=2.33226e-51 t=325666
hen yan ge 	很嚴格	c=1 d=3.05375e-163 t=325666
hen yi huo 	很疑惑	c=2 d=4.82812e-23 t=325666
hen yong li 	很用力	c=1 d=1.31287e-26 t=325666
hen you 	很有	c=13 d=0.472367 t=325666
hen you bi yao 	很有必要	c=1 d=2.45743e-19 t=325666
hen you hao 	很友好	c=1 d=6.41287e-127 t=325666
