# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	112144
#@/user_id	MacBook
a 	啊	c=165 d=0.114078 t=112144
di san hang 	第三行	c=1 d=3.16683e-179 t=112144
di san zhong 	第三種	c=1 d=6.58641e-147 t=112144
di shi shi su 	的士時速	c=0 d=2.17423e-197 t=112144
di tu 	地圖	c=3 d=1.48194e-53 t=112144
di wei 	地位	c=1 d=4.53357e-194 t=112144
di yi 	第一	c=11 d=5.93793e-16 t=112144
di yi ci 	第一次	c=8 d=4.96484e-28 t=112144
di yi dian 	第一點	c=6 d=6.77589e-69 t=112144
di yi ge 	第一個	c=19 d=1.0057e-08 t=112144
di yi hang 	第一行	c=1 d=8.71821e-93 t=112144
di yi lie 	低一列	c=1 d=3.78004e-85 t=112144
di yi pai 	第一排	c=1 d=1.9514e-218 t=112144
di yi ren 	第一人	c=1 d=4.16639e-171 t=112144
di yi tai 	第一臺	c=1 d=1.18371e-131 t=112144
di yi tian 	第一天	c=1 d=4.06487e-28 t=112144
di yi tiao 	第一條	c=3 d=1.7445e-39 t=112144
di yi zhong 	第一種	c=1 d=1.30464e-99 t=112144
di yi zhou 	第一週	c=1 d=9.10767e-19 t=112144
di yu 	低於	c=10 d=1.01174e-49 t=112144
di zhi 	地址	c=15 d=1.59744e-40 t=112144
di zhi zheng mi 	地址證蜜	c=1 d=1.13131e-216 t=112144
dian 	典	c=1 d=5.46398e-243 t=112144
dian 	殿	c=1 d=3.6028e-167 t=112144
dian 	電	c=2 d=1.47437e-38 t=112144
dian 	點	c=292 d=0.141465 t=112144
dian chi 	電池	c=4 d=2.43003e-238 t=112144
dian dao 	顛倒	c=1 d=1.24821e-167 t=112144
dian dian 	點點	c=5 d=2.6157e-18 t=112144
dian dian dian 	点点点	c=1 d=1.46708e-156 t=112144
dian duo 	掂掇	c=2 d=4.77637e-102 t=112144
dian feng 	巔峯	c=1 d=1.3318e-18 t=112144
dian gu 	典故	c=2 d=3.05522e-117 t=112144
dian ha 	點哈	c=1 d=1.65637e-25 t=112144
dian hou 	點後	c=2 d=2.3772e-62 t=112144
dian hua 	電話	c=15 d=9.71602e-15 t=112144
dian ji 	電機	c=1 d=3.58727e-175 t=112144
dian ji 	點擊	c=285 d=0.000122263 t=112144
dian ji hou 	點擊後	c=1 d=8.27522e-09 t=112144
dian jin 	點金	c=1 d=4.16073e-155 t=112144
dian jin qu 	點進去	c=2 d=8.81389e-45 t=112144
dian kai 	點開	c=4 d=0.0867261 t=112144
dian le 	點了	c=7 d=1.96832e-55 t=112144
dian liang 	電量	c=2 d=1.49522e-238 t=112144
dian nao 	電腦	c=7 d=3.89528e-56 t=112144
dian ping 	點評	c=1 d=5.07452e-226 t=112144
dian qi 	電器	c=1 d=1.83806e-73 t=112144
dian qian 	點錢	c=1 d=5.54444e-121 t=112144
dian ti 	電梯	c=1 d=4.95508e-93 t=112144
dian wan 	電玩	c=1 d=1.76497e-125 t=112144
dian xin 	電信	c=2 d=6.29032e-214 t=112144
dian xing 	典型	c=3 d=1.11064e-58 t=112144
dian xuan 	點選	c=1 d=3.23112e-92 t=112144
dian ying 	電影	c=2 d=2.35796e-121 t=112144
dian yuan 	店員	c=1 d=1.89303e-243 t=112144
dian za 	點咋	c=1 d=1.47268e-142 t=112144
dian zai 	點在	c=2 d=1.89064e-140 t=112144
dian zan 	點讚	c=70 d=4.27706e-10 t=112144
dian zan shu 	點讚數	c=2 d=1.88112e-22 t=112144
dian zhan 	電站	c=1 d=1.04401e-183 t=112144
dian zhong 	電鐘	c=1 d=3.77116e-28 t=112144
dian zhong 	點中	c=1 d=3.79006e-28 t=112144
dian zi shu 	電子束	c=1 d=2.58694e-35 t=112144
diao 	叼	c=4 d=1.41627e-139 t=112144
diao 	掉	c=28 d=7.45361e-17 t=112144
diao 	調	c=1 d=6.37355e-231 t=112144
diao de 	調的	c=2 d=2.51664e-05 t=112144
diao le 	掉了	c=3 d=1.88867e-157 t=112144
diao luo 	掉落	c=1 d=5.26887e-227 t=112144
diao tou 	掉頭	c=0 d=2.03954e-33 t=112144
diao tou fa 	掉頭發	c=1 d=2.04976e-32 t=112144
diao xian 	掉線	c=1 d=7.97437e-132 t=112144
diao yan 	調研	c=4 d=2.77622e-15 t=112144
diao yong 	調用	c=82 d=4.59079e-05 t=112144
diao yong le 	調用了	c=1 d=4.09835e-95 t=112144
die 	爹	c=5 d=2.75033e-32 t=112144
die 	疊	c=1 d=1.72064e-208 t=112144
die 	碟	c=1 d=2.51693e-212 t=112144
die 	蝶	c=4 d=9.42175e-32 t=112144
die 	跌	c=1 d=1.92463e-85 t=112144
die dai 	迭代	c=7 d=3.22003e-81 t=112144
die dai qi 	迭代器	c=2 d=1.44167e-50 t=112144
die jia 	疊加	c=1 d=3.08916e-181 t=112144
din yue 	𨈖月	c=1 d=4.13052e-40 t=112144
ding 	丁	c=1 d=1.06804e-39 t=112144
ding 	定	c=22 d=6.45134e-21 t=112144
ding 	訂	c=1 d=4.22343e-37 t=112144
ding 	頂	c=11 d=1.6286e-32 t=112144
ding bu 	頂部	c=6 d=3.77963e-25 t=112144
ding bu zhu 	頂不住	c=5 d=4.50097e-10 t=112144
ding dan 	訂單	c=2 d=3.08048e-110 t=112144
ding de 	頂得	c=2 d=9.07371e-122 t=112144
ding hao 	頂好	c=2 d=7.52021e-148 t=112144
ding ji 	頂級	c=2 d=4.89343e-34 t=112144
ding shi 	定時	c=3 d=1.70161e-76 t=112144
ding wei 	定位	c=17 d=9.885e-12 t=112144
ding xia 	定下	c=2 d=5.05636e-37 t=112144
ding xiang 	定向	c=1 d=6.5569e-153 t=112144
ding yi 	定義	c=18 d=2.91797e-08 t=112144
ding yue 	訂閱	c=14 d=4.28434e-29 t=112144
ding yue hao 	訂閱號	c=4 d=4.54928e-29 t=112144
ding zai 	定在	c=1 d=1.05042e-108 t=112144
ding zhen 	丁真	c=5 d=4.48354e-144 t=112144
ding zhi 	定製	c=2 d=1.14205e-92 t=112144
ding zhu 	頂住	c=1 d=6.21548e-24 t=112144
diu 	丟	c=3 d=2.38854e-08 t=112144
diu dao 	丟到	c=1 d=5.54521e-152 t=112144
diu guo qu 	丟過去	c=1 d=9.00552e-239 t=112144
diu shi 	丟失	c=0 d=0.000388746 t=112144
diu shi de ka 	丟失的卡	c=0 d=3.74243e-86 t=112144
dong 	冬	c=1 d=2.70832e-45 t=112144
dong 	動	c=36 d=0.00990219 t=112144
dong 	懂	c=10 d=1.39472e-61 t=112144
dong 	洞	c=2 d=1.81719e-225 t=112144
dong dao 	東到	c=1 d=5.47528e-91 t=112144
dong de 	懂得	c=2 d=2.83481e-82 t=112144
dong guan 	東莞	c=3 d=2.16932e-143 t=112144
dong guo 	動過	c=2 d=1.39454e-177 t=112144
dong hua 	動畫	c=82 d=0.067048 t=112144
dong hua le 	動畫了	c=1 d=1.05979e-183 t=112144
dong le 	動了	c=1 d=1.0133e-214 t=112144
dong le 	懂了	c=1 d=1.1566e-182 t=112144
dong liang 	動量	c=1 d=1.8573e-166 t=112144
dong shou 	動手	c=3 d=1.49219e-91 t=112144
dong shou le 	動手了	c=2 d=1.54792e-140 t=112144
dong tai 	動態	c=25 d=9.42406e-09 t=112144
dong tai ku 	动态库	c=2 d=1.0341e-194 t=112144
dong tai ye 	動態頁	c=3 d=9.69922e-24 t=112144
dong xi 	東西	c=30 d=9.97924e-06 t=112144
dong xiao 	洞簫	c=3 d=4.24741e-95 t=112144
dong you ji 	東遊記	c=1 d=8.76546e-39 t=112144
dong zuo 	動作	c=2 d=9.13279e-22 t=112144
dou 	兜	c=15 d=1.35262e-24 t=112144
dou 	豆	c=1 d=1.06271e-39 t=112144
dou 	都	c=227 d=4.26467e-05 t=112144
dou 	鬥	c=2 d=1.66304e-131 t=112144
dou ban 	豆瓣	c=1 d=8.07366e-13 t=112144
dou bu 	都不	c=0 d=2.35165e-208 t=112144
dou bu hui 	都不會	c=4 d=0.00121866 t=112144
dou bu hui dong 	都不會動	c=1 d=2.35355e-99 t=112144
dou bu shi 	都不是	c=2 d=1.84388e-22 t=112144
dou bu zen me 	都不怎麼	c=1 d=2.36344e-207 t=112144
dou dei 	都得	c=2 d=2.79151e-98 t=112144
dou di 	兜底	c=23 d=5.99456e-10 t=112144
dou dou 	兜兜	c=1 d=1.68027e-164 t=112144
dou dou 	痘痘	c=1 d=4.26329e-118 t=112144
dou dou 	豆豆	c=0 d=1.66355e-165 t=112144
dou dou zhuan zhuan 	豆豆轉轉	c=1 d=1.67189e-164 t=112144
dou fu 	豆腐	c=0 d=2.12706e-233 t=112144
dou fu kuai 	豆腐快	c=1 d=2.13772e-232 t=112144
dou hai hao 	都還好	c=1 d=9.49043e-209 t=112144
dou hai mei 	都還沒	c=1 d=2.92416e-241 t=112144
dou hai shi 	都還是	c=1 d=8.04277e-203 t=112144
dou hao 	逗號	c=6 d=1.97012e-07 t=112144
dou hui 	都會	c=25 d=9.72944e-13 t=112144
dou hui jin ao 	都會金澳	c=1 d=2.89128e-20 t=112144
dou hui you 	都會有	c=1 d=2.74087e-156 t=112144
dou ke yi 	都可以	c=19 d=0.00433948 t=112144
dou lai zi 	都來自	c=1 d=1.5577e-214 t=112144
dou li yong 	都利用	c=1 d=8.47118e-49 t=112144
dou mei you 	都沒有	c=8 d=3.84276e-14 t=112144
dou pei zhi 	都配置	c=1 d=3.28932e-08 t=112144
dou qu 	都去	c=1 d=2.81885e-45 t=112144
dou she zhi le 	都設置了	c=1 d=3.76463e-37 t=112144
dou shi 	都是	c=154 d=0.0441788 t=112144
dou shi ni 	都是你	c=1 d=2.17727e-183 t=112144
dou shi shui 	都是水	c=1 d=2.43135e-158 t=112144
dou tiao zheng 	都調整	c=1 d=5.83126e-38 t=112144
dou xian zhi 	都限制	c=1 d=2.58705e-153 t=112144
dou xing 	都行	c=6 d=1.80301e-23 t=112144
dou xu yao 	都需要	c=3 d=2.87677e-49 t=112144
dou yao 	都要	c=3 d=7.17242e-92 t=112144
dou yao qiu 	都要求	c=1 d=5.89493e-195 t=112144
dou yi yang 	都一樣	c=1 d=3.80185e-182 t=112144
dou yin 	抖音	c=10 d=8.65906e-13 t=112144
dou yin 	都因	c=1 d=1.11891e-204 t=112144
dou you 	都有	c=8 d=0.00822975 t=112144
dou you de 	都有的	c=1 d=1.41734e-162 t=112144
dou zai 	都在	c=1 d=2.63626e-110 t=112144
dou zhe yang 	都這樣	c=1 d=1.35351e-208 t=112144
dou zheng chang 	都正常	c=1 d=2.85175e-152 t=112144
dou zhu 	兜住	c=3 d=3.6473e-135 t=112144
du 	堵	c=1 d=4.92989e-180 t=112144
du 	度	c=12 d=1.6035e-09 t=112144
du 	渡	c=4 d=6.62816e-29 t=112144
du 	讀	c=50 d=0.000134522 t=112144
du bu dong 	讀不懂	c=1 d=2.86235e-225 t=112144
du che 	堵車	c=2 d=3.09791e-35 t=112144
du chu 	讀出	c=1 d=2.62545e-238 t=112144
du de 	讀得	c=8 d=1.50497e-15 t=112144
du de na 	讀得那	c=1 d=1.49036e-106 t=112144
du jie kou 	讀接口	c=1 d=2.41796e-05 t=112144
du li 	独立	c=19 d=1.9906e-11 t=112144
du qu 	讀取	c=33 d=0.647265 t=112144
du shen 	賭神	c=1 d=1.22745e-58 t=112144
du shu 	讀書	c=10 d=2.84362e-36 t=112144
du te 	獨特	c=1 d=4.83736e-163 t=112144
du xie 	讀寫	c=1 d=1.31422e-185 t=112144
du you 	獨有	c=1 d=3.07271e-177 t=112144
duan 	斷	c=5 d=3.46986e-19 t=112144
duan 	段	c=13 d=1.54035e-53 t=112144
duan 	短	c=15 d=4.60432e-14 t=112144
duan 	端	c=204 d=0.00221209 t=112144
duan dian 	斷點	c=12 d=2.77924e-55 t=112144
duan duan 	短短	c=0 d=7.76029e-107 t=112144
duan duan yi ge 	短短一個	c=1 d=7.79919e-106 t=112144
duan fa 	短髮	c=1 d=8.58896e-35 t=112144
duan jie ka 	斷接卡	c=0 d=7.95564e-76 t=112144
duan ju 	短句	c=0 d=4.50956e-162 t=112144
duan kou 	端口	c=4 d=3.48181e-30 t=112144
duan lu 	短路	c=2 d=5.97376e-20 t=112144
duan ni 	端倪	c=1 d=1.02668e-46 t=112144
duan shan 	端扇	c=2 d=1.92678e-10 t=112144
duan shang 	端上	c=206 d=0.0375033 t=112144
duan shi 	端石	c=1 d=2.32386e-38 t=112144
duan shi jian 	短時間	c=1 d=4.19451e-15 t=112144
duan shi pin 	短视频	c=13 d=5.83903e-29 t=112144
duan shi ping 	端時評	c=1 d=2.73414e-39 t=112144
duan wang 	斷網	c=2 d=3.2678e-19 t=112144
duan xin 	短信	c=1 d=3.99788e-244 t=112144
duan xiu 	短袖	c=1 d=5.71973e-193 t=112144
duan yu 	短語	c=1 d=5.26565e-161 t=112144
dui 	堆	c=5 d=1.28845e-11 t=112144
dui 	對	c=268 d=0.739867 t=112144
dui 	隊	c=1 d=2.99258e-219 t=112144
dui a 	對啊	c=2 d=1.17527e-47 t=112144
dui ba 	對吧	c=53 d=4.99682e-06 t=112144
dui bi 	對比	c=10 d=1.2719e-06 t=112144
dui bi xia 	對比下	c=1 d=3.79643e-224 t=112144
dui bi yi xia 	對比一下	c=1 d=6.27646e-80 t=112144
dui bu dui 	對不對	c=1 d=3.73177e-169 t=112144
dui bu shang 	對不上	c=4 d=2.90106e-89 t=112144
dui ce 	對策	c=2 d=2.0387e-61 t=112144
dui da 	對打	c=1 d=4.29327e-171 t=112144
dui de 	對的	c=29 d=1.42663e-19 t=112144
dui de shang 	對的上	c=2 d=9.29234e-108 t=112144
dui de zhang 	對的長	c=1 d=2.46951e-106 t=112144
dui dui 	對對	c=2 d=0.00869506 t=112144
dui fang 	對方	c=1 d=5.26239e-95 t=112144
dui guo 	對過	c=1 d=2.74533e-87 t=112144
dui hua 	對話	c=2 d=1.56848e-60 t=112144
dui jie 	對接	c=10 d=2.4267e-18 t=112144
dui jie shang 	對接上	c=1 d=1.54866e-175 t=112144
dui jin kou shang 	對進口商	c=0 d=3.74243e-86 t=112144
dui jing 	对境	c=1 d=2.06214e-44 t=112144
dui jiu ei 	對就誒	c=1 d=1.71836e-163 t=112144
dui le 	對了	c=11 d=4.45085e-07 t=112144
dui li 	對立	c=1 d=6.98129e-38 t=112144
dui ma 	兌馬	c=1 d=1.70741e-176 t=112144
dui ma 	對嗎	c=1 d=5.04932e-50 t=112144
dui ni 	對你	c=2 d=6.39476e-35 t=112144
dui qi 	對齊	c=84 d=3.49605e-13 t=112144
dui shang 	對上	c=1 d=4.58938e-44 t=112144
dui shang shu 	對上述	c=1 d=9.09808e-36 t=112144
dui sheng huo 	對生活	c=1 d=1.2881e-96 t=112144
dui shi yan 	對實驗	c=1 d=3.88654e-59 t=112144
dui shu de di 	對數的底	c=0 d=2.17423e-197 t=112144
dui shu de di di shi shi su de 	對數的底的士時速的	c=1 d=2.18514e-196 t=112144
dui shu ke du 	對數刻度	c=0 d=1.30583e-52 t=112144
dui shu ke du jin shu kou he ji da hua fen jie kuang hu fa dong ji fang kui hua da ji kuai di fei hou shi ji fa huang jia ka fei hui fu kong jian dian he kong jian dian he jia kuan han dao fan shang jie keng dao fu shi jia kong suo dao fen jie kuang hu duan shang fu he kong jian 	對數刻度金屬扣合極大化分解礦糊發動機房葵花大薊快遞費鱟試劑法皇家咖啡回覆空間電荷空間電荷加寬焊道泛上界坑道腐蝕架空索道分解礦糊端上復合控件	c=1 d=1.31237e-51 t=112144
dui ta 	對他	c=1 d=3.45355e-228 t=112144
dui wai 	對外	c=2 d=1.50959e-51 t=112144
dui wo 	對我	c=1 d=6.16397e-220 t=112144
dui xia 	對蝦	c=2 d=4.35294e-10 t=112144
dui xian 	對線	c=3 d=1.69568e-139 t=112144
dui xiang 	對象	c=16 d=2.22448e-44 t=112144
dui xiang hou 	對象後	c=1 d=7.46513e-91 t=112144
dui xu qiu 	對需求	c=1 d=5.37291e-163 t=112144
dui yin 	對飲	c=12 d=3.37075e-31 t=112144
dui ying 	對應	c=81 d=0.000866409 t=112144
dui ying de 	對應的	c=4 d=2.01753e-22 t=112144
dui yu 	對於	c=18 d=2.98553e-15 t=112144
dui zhan 	堆棧	c=7 d=9.54148e-37 t=112144
dui zhan qu 	堆棧區	c=1 d=2.82752e-228 t=112144
dui zhao 	對照	c=9 d=1.17445e-54 t=112144
dui zhao zu 	對照組	c=8 d=1.29446e-07 t=112144
dui zhe ge 	對這個	c=1 d=3.24137e-188 t=112144
dun 	頓	c=3 d=7.38677e-228 t=112144
duo 	多	c=91 d=4.82351e-06 t=112144
duo bian 	多變	c=1 d=2.07382e-81 t=112144
duo bu duo 	多不多	c=1 d=1.38843e-243 t=112144
duo chong 	多重	c=6 d=1.19381e-84 t=112144
duo ci 	多次	c=10 d=1.86773e-19 t=112144
duo da 	多大	c=4 d=1.54844e-144 t=112144
duo de 	多的	c=1 d=1.89565e-83 t=112144
duo duo 	多多	c=9 d=5.16115e-43 t=112144
duo fa 	多發	c=1 d=7.56385e-216 t=112144
duo fang 	垛放	c=1 d=7.66275e-163 t=112144
duo fang 	多方	c=2 d=0.0150708 t=112144
duo ge 	多個	c=18 d=1.80234e-82 t=112144
duo hang 	多行	c=0 d=9.05674e-101 t=112144
duo hao 	多好	c=1 d=1.02784e-117 t=112144
duo hao hua 	多豪華	c=1 d=4.86985e-36 t=112144
duo jiu 	多久	c=2 d=1.64863e-205 t=112144
duo kan 	多看	c=1 d=5.89412e-164 t=112144
duo le 	多了	c=4 d=1.10879e-09 t=112144
duo lun 	多倫	c=1 d=3.82664e-229 t=112144
duo mei ti 	多媒體	c=2 d=4.78951e-213 t=112144
duo ren 	多人	c=6 d=1.03082e-232 t=112144
duo sha 	多殺	c=2 d=2.4494e-05 t=112144
duo shang 	多上	c=2 d=1.01796e-84 t=112144
duo shao 	多少	c=36 d=8.66979e-08 t=112144
duo shao ge 	多少個	c=1 d=2.11019e-109 t=112144
duo shao hang 	多少行	c=1 d=5.72734e-238 t=112144
duo shao ne 	多少呢	c=1 d=1.00906e-106 t=112144
duo shao ti 	多紹提	c=1 d=5.40059e-194 t=112144
duo tiao 	多條	c=8 d=1.63258e-102 t=112144
duo tu 	多塗	c=1 d=6.67508e-216 t=112144
duo xian cheng 	多線程	c=7 d=2.22812e-43 t=112144
duo xiao shi 	多小時	c=2 d=7.90847e-152 t=112144
duo xuan 	多選	c=2 d=2.17068e-118 t=112144
duo yang hua 	多樣化	c=1 d=5.69231e-19 t=112144
duo yi dian 	多一點	c=1 d=2.14923e-60 t=112144
duo yu 	多余	c=2 d=1.66729e-161 t=112144
duo yuan 	多元	c=1 d=6.4694e-142 t=112144
duo zhang hao 	多賬號	c=2 d=7.71158e-83 t=112144
e 	額	c=5 d=1.99121e-44 t=112144
e 	餓	c=1 d=4.46365e-217 t=112144
e chou 	惡臭	c=1 d=9.40042e-97 t=112144
e ji 	額基	c=0 d=3.46574e-06 t=112144
e luo si 	俄羅斯	c=2 d=1.2355e-32 t=112144
e mi 	厄米	c=0 d=5.06326e-54 t=112144
e mi you 	厄米有	c=1 d=5.08863e-53 t=112144
e mo 	惡魔	c=0 d=5.51116e-110 t=112144
e mo ji 	惡魔及	c=1 d=5.53878e-109 t=112144
e mo nv 	惡魔女	c=0 d=2.37349e-111 t=112144
e wai 	額外	c=62 d=1.35124e-12 t=112144
e xi 	惡習	c=0 d=5.6482e-193 t=112144
e xin 	噁心	c=17 d=1.13373e-06 t=112144
e xing 	恶行	c=1 d=2.54559e-110 t=112144
e yi 	惡意	c=1 d=1.70694e-114 t=112144
ei 	誒	c=12 d=6.45223e-43 t=112144
ei bu 	誒不	c=1 d=6.2484e-233 t=112144
en 	嗯	c=54 d=2.51618e-07 t=112144
en en 	嗯嗯	c=1 d=0.0160027 t=112144
eng xia 	嗯下	c=1 d=2.92265e-88 t=112144
er 	二	c=39 d=2.53796e-16 t=112144
er 	兒	c=2 d=3.32917e-32 t=112144
er 	爾	c=2 d=7.71083e-119 t=112144
er 	而	c=24 d=4.32004e-09 t=112144
er bu shi 	而不是	c=14 d=1.06126e-23 t=112144
er ci 	二次	c=15 d=0.000165833 t=112144
er dian 	耳點	c=1 d=1.26595e-39 t=112144
er fei 	而非	c=1 d=8.79542e-226 t=112144
er fen 	二分	c=1 d=9.33097e-98 t=112144
er fen 	二酚	c=0 d=6.01338e-136 t=112144
er guo 	二果	c=0 d=5.72985e-156 t=112144
er hang 	二行	c=3 d=8.80583e-93 t=112144
er ji 	二級	c=31 d=0.000280202 t=112144
er ji ye 	二級頁	c=1 d=7.3009e-94 t=112144
er jin zhi 	二進制	c=36 d=7.54707e-43 t=112144
er jin zhi hua 	二進制話	c=1 d=9.61359e-243 t=112144
er lou 	二樓	c=1 d=4.02965e-102 t=112144
er qi 	二期	c=4 d=1.56539e-125 t=112144
er qie 	而且	c=65 d=0.943738 t=112144
er qie shi 	而且是	c=1 d=2.13618e-106 t=112144
er san ji 	二三极	c=1 d=3.28687e-58 t=112144
er shi 	而是	c=21 d=1.01615e-12 t=112144
er shou 	二手	c=3 d=1.00431e-168 t=112144
er si 	二死	c=1 d=2.59957e-151 t=112144
er wei 	二維	c=1 d=8.27221e-181 t=112144
er wei ma 	二維碼	c=7 d=1.51123e-05 t=112144
er yi 	而已	c=11 d=1.46394e-72 t=112144
er zhu 	耳珠	c=1 d=1.00066e-184 t=112144
er zu 	二祖	c=1 d=9.75947e-185 t=112144
fa 	法	c=13 d=1.43554e-47 t=112144
fa 	發	c=121 d=0.139469 t=112144
fa ban 	法版	c=0 d=2.67112e-236 t=112144
fa ban ben 	法版本	c=1 d=2.68451e-235 t=112144
fa biao 	發表	c=16 d=2.08029e-43 t=112144
fa biao shi jian 	發表時間	c=1 d=2.81753e-157 t=112144
fa bu 	發佈	c=94 d=1.36742e-05 t=112144
fa bu an niu 	發佈按扭	c=1 d=1.27135e-236 t=112144
fa bu dan 	發佈單	c=2 d=2.72148e-52 t=112144
fa bu de 	發佈的	c=1 d=1.67524e-70 t=112144
fa bu fen zhi 	發佈分支	c=2 d=3.41196e-115 t=112144
fa bu qi 	發佈器	c=16 d=1.24371e-07 t=112144
fa chu 	發出	c=2 d=9.02721e-91 t=112144
fa chu lai 	發出來	c=1 d=1.76569e-71 t=112144
fa chu qu 	發出去	c=4 d=5.03134e-98 t=112144
fa cuo le 	發錯了	c=1 d=1.17276e-110 t=112144
fa da 	發達	c=1 d=2.50708e-19 t=112144
fa dao 	發到	c=1 d=3.22411e-184 t=112144
fa de 	發的	c=5 d=1.05414e-32 t=112144
fa dong ji fang 	發動機房	c=0 d=1.30583e-52 t=112144
fa ge 	發個	c=3 d=4.10286e-34 t=112144
fa gei 	發給	c=2 d=1.47188e-165 t=112144
fa gei ni 	發給你	c=1 d=6.05402e-126 t=112144
fa hong bao 	發紅包	c=1 d=1.374e-32 t=112144
fa huan jing 	發環境	c=1 d=8.43591e-235 t=112144
fa le 	發了	c=8 d=4.98779e-22 t=112144
fa liang 	法良	c=0 d=9.18862e-124 t=112144
fa lv 	法律	c=1 d=1.00144e-105 t=112144
fa ming 	發明	c=3 d=7.85857e-158 t=112144
fa ming ji shu 	發明技術	c=1 d=1.02844e-212 t=112144
fa ni 	发逆	c=1 d=1.40118e-86 t=112144
fa piao 	發票	c=1 d=5.51263e-24 t=112144
fa pu 	發普	c=1 d=4.27838e-42 t=112144
fa qi 	發起	c=6 d=8.35839e-09 t=112144
fa ren 	法人	c=1 d=2.38531e-139 t=112144
fa sheng 	發生	c=5 d=3.38459e-33 t=112144
fa song 	發送	c=65 d=7.88244e-25 t=112144
fa tiao 	法條	c=2 d=4.95456e-33 t=112144
fa tu 	法徒	c=1 d=3.38214e-100 t=112144
fa tu 	發圖	c=22 d=8.65583e-14 t=112144
fa tu an niu 	發圖按扭	c=1 d=8.41459e-29 t=112144
fa wan 	發完	c=1 d=1.162e-178 t=112144
fa wen 	發文	c=1 d=2.04101e-158 t=112144
fa wo 	法我	c=3 d=1.51006e-84 t=112144
fa wu 	法務	c=1 d=2.83135e-97 t=112144
fa xia 	發下	c=3 d=0.249075 t=112144
fa xian 	發現	c=66 d=6.49824e-18 t=112144
fa xian le 	發現了	c=2 d=5.49057e-65 t=112144
fa xian zhe li 	發現這裏	c=1 d=1.2466e-93 t=112144
fa yan 	發言	c=1 d=8.92856e-50 t=112144
fa yi xia 	發一下	c=2 d=5.60739e-48 t=112144
fa yi zhang 	發一張	c=1 d=2.16757e-13 t=112144
fa ze 	法則	c=1 d=5.55839e-33 t=112144
fa zhan 	發展	c=1 d=4.73221e-81 t=112144
fa zhan xia 	發展下	c=1 d=9.47974e-137 t=112144
fan 	反	c=11 d=0.145148 t=112144
fan 	泛	c=3 d=5.60489e-35 t=112144
fan 	犯	c=1 d=1.63282e-33 t=112144
fan 	范	c=1 d=4.09586e-176 t=112144
fan 	販	c=1 d=1.02407e-162 t=112144
fan 	飯	c=6 d=4.26052e-81 t=112144
fan bu 	帆布	c=3 d=3.11826e-198 t=112144
fan bu bao 	帆布包	c=1 d=8.25033e-238 t=112144
fan bu dai 	帆布帶	c=1 d=1.98744e-198 t=112144
fan cuo 	翻錯	c=1 d=3.65029e-174 t=112144
fan de 	反的	c=2 d=6.98527e-181 t=112144
fan dian 	飯店	c=1 d=9.52595e-106 t=112144
fan er 	反而	c=8 d=9.50066e-17 t=112144
fan er shi 	反而是	c=1 d=1.17124e-36 t=112144
fan fa 	犯法	c=1 d=2.05886e-231 t=112144
fan fu 	反覆	c=1 d=2.26521e-237 t=112144
fan guo lai 	反過來	c=1 d=3.03943e-49 t=112144
fan hou 	飯後	c=1 d=3.06341e-112 t=112144
fan hui 	返回	c=38 d=8.17391e-09 t=112144
fan hui le 	返回了	c=1 d=8.12742e-91 t=112144
fan hui zhi 	返回值	c=4 d=1.28507e-122 t=112144
fan kui 	反饋	c=67 d=0.12616 t=112144
fan kui xia 	反饋下	c=1 d=9.59195e-99 t=112144
fan le 	翻了	c=1 d=3.46116e-107 t=112144
fan neng 	樊能	c=0 d=6.6962e-166 t=112144
fan neng gai de 	樊能改的	c=1 d=6.72977e-165 t=112144
fan shang jie 	泛上界	c=0 d=1.30583e-52 t=112144
fan wei 	範圍	c=35 d=3.28929e-10 t=112144
fan wei nei 	範圍內	c=1 d=3.13756e-158 t=112144
fan xiang 	反向	c=3 d=6.27881e-55 t=112144
fan xiang 	反響	c=1 d=5.23719e-68 t=112144
fan xin 	翻新	c=1 d=3.6416e-146 t=112144
fan xu lie 	反序列	c=1 d=1.8965e-147 t=112144
fan yi 	翻譯	c=9 d=3.10737e-138 t=112144
fan yin 	反因	c=1 d=4.39181e-90 t=112144
fan ying 	反應	c=4 d=1.87972e-72 t=112144
fan ying 	反映	c=1 d=4.05549e-89 t=112144
fan zao 	煩躁	c=1 d=9.09653e-34 t=112144
fan zheng 	反正	c=9 d=2.19838e-32 t=112144
fan zhuan 	翻轉	c=2 d=1.07186e-81 t=112144
fan zuo bi 	飯作弊	c=1 d=6.46148e-157 t=112144
fang 	房	c=2 d=1.70257e-147 t=112144
fang 	放	c=34 d=2.52923e-05 t=112144
fang 	方	c=8 d=1.22874e-41 t=112144
fang 	防	c=1 d=1.6809e-139 t=112144
fang an 	方案	c=45 d=0.286505 t=112144
fang bian 	方便	c=31 d=1.02899e-05 t=112144
fang bian dian 	方便點	c=1 d=1.22321e-223 t=112144
fang biao 	放表	c=1 d=4.98702e-51 t=112144
fang bu xia 	放不下	c=1 d=2.20072e-162 t=112144
fang da 	放大	c=1 d=6.60522e-63 t=112144
fang da 	方大	c=1 d=1.49748e-162 t=112144
fang dao 	放到	c=10 d=1.33366e-05 t=112144
fang dao le 	放到了	c=1 d=5.573e-152 t=112144
